Fecha,Sigla Empresa,Nombre,Origen,Nombre,Ciudad Origen,Departamento Origen,Pais Origen,Continente Origen,Destino,Nombre,Ciudad Destino,Departamento Destino,Pais Destino,Continente Destino,Tipo de Equipo,Tipo Vuelo,Tráfico,Número de Vuelos,Horas Bloque,Sillas Ofrecidas,Pasajeros A Bordo,Pasajeros Tránsito,Carga Ofrecida (Kg.),Carga + Correo A Bordo (Kg.),Carga Tránsito (Kg.)
01-Jul-22 00:00:00,0EC,SAE,LCH,LA CHORRERA - VIRGILIO BARCO VARGAS,LA CHORRERA,AMAZONAS,COLOMBIA,SURAMERICA,SJE,SAN JOSE DEL GUAVIARE- JORGE E GONZ,SAN JOSE DEL GUAVIARE,GUAVIARE,COLOMBIA,SURAMERICA,C207,T,N,1.00,1.92,0.00,0.00,0.00,0.00,27.00,0.00
01-Jul-22 00:00:00,0EC,SAE,LMC,LA MACARENA - META,LA MACARENA,META,COLOMBIA,SURAMERICA,VVC,VANGUARDIA,VILLAVICENCIO,META,COLOMBIA,SURAMERICA,C207,T,N,4.00,3.83,0.00,18.00,0.00,0.00,99.00,0.00
01-Jul-22 00:00:00,0EC,SAE,LMC,LA MACARENA - META,LA MACARENA,META,COLOMBIA,SURAMERICA,VVC,VANGUARDIA,VILLAVICENCIO,META,COLOMBIA,SURAMERICA,P28A,T,N,1.00,1,0.00,3.00,0.00,0.00,10.00,0.00
01-Jul-22 00:00:00,0EC,SAE,MFS,MIRAFLORES,MIRAFLORES - GUAVIARE,GUAVIARE,COLOMBIA,SURAMERICA,SJE,SAN JOSE DEL GUAVIARE- JORGE E GONZ,SAN JOSE DEL GUAVIARE,GUAVIARE,COLOMBIA,SURAMERICA,C207,T,N,3.00,2.01,0.00,4.00,0.00,0.00,72.00,0.00
01-Jul-22 00:00:00,0EC,SAE,PCE,CUMARIBO,PUERTO CARRENO,VICHADA,COLOMBIA,SURAMERICA,GYM,GUAYMARAL,CHIA,CUNDINAMARCA,COLOMBIA,SURAMERICA,P28A,T,N,1.00,2.5,0.00,2.00,0.00,0.00,27.00,0.00
01-Jul-22 00:00:00,0EC,SAE,PCE,CUMARIBO,PUERTO CARRENO,VICHADA,COLOMBIA,SURAMERICA,PCR,GERMAN OLANO,PUERTO CARRENO,VICHADA,COLOMBIA,SURAMERICA,C207,T,N,1.00,1.17,0.00,0.00,0.00,0.00,0.00,0.00
01-Jul-22 00:00:00,0EC,SAE,PCE,CUMARIBO,PUERTO CARRENO,VICHADA,COLOMBIA,SURAMERICA,VVC,VANGUARDIA,VILLAVICENCIO,META,COLOMBIA,SURAMERICA,C207,T,N,2.00,3.5,0.00,0.00,0.00,0.00,17.00,0.00
01-Jul-22 00:00:00,0EC,SAE,PCE,CUMARIBO,PUERTO CARRENO,VICHADA,COLOMBIA,SURAMERICA,VVC,VANGUARDIA,VILLAVICENCIO,META,COLOMBIA,SURAMERICA,P28A,T,N,3.00,5.01,0.00,6.00,0.00,0.00,99.00,0.00
01-Jul-22 00:00:00,0EC,SAE,PCR,GERMAN OLANO,PUERTO CARRENO,VICHADA,COLOMBIA,SURAMERICA,PCE,CUMARIBO,PUERTO CARRENO,VICHADA,COLOMBIA,SURAMERICA,C207,T,N,1.00,1.33,0.00,0.00,0.00,0.00,45.00,0.00
01-Jul-22 00:00:00,0EC,SAE,PCR,GERMAN OLANO,PUERTO CARRENO,VICHADA,COLOMBIA,SURAMERICA,VVC,VANGUARDIA,VILLAVICENCIO,META,COLOMBIA,SURAMERICA,P28A,T,N,1.00,3,0.00,3.00,0.00,0.00,18.00,0.00
01-Jul-22 00:00:00,0EC,SAE,SJE,SAN JOSE DEL GUAVIARE- JORGE E GONZ,SAN JOSE DEL GUAVIARE,GUAVIARE,COLOMBIA,SURAMERICA,CRU,CARURU,CARURU,VAUPES,COLOMBIA,SURAMERICA,C207,T,N,2.00,2.25,0.00,2.00,0.00,0.00,27.00,0.00
