Sigla Empresa,Nombre,Fecha,Año,Número de Mes,Origen,Nombre,Ciudad Origen,Pais Origen,Destino,Nombre,Ciudad Destino,Pais Destino,Tráfico (N/I),Tipo Vuelo,Pasajeros,Carga + Correo (Kg)
0EC,SAE,7/1/2022 0:00,2022,7,SVI,SAN VICENTE DEL CAGUAN,SAN VICENTE DEL CAGUAN,COLOMBIA,FLA,GUSTAVO ARTUNDUAGA PAREDES,FLORENCIA,COLOMBIA,N,T,0.00,45.00
0EC,SAE,7/1/2022 0:00,2022,7,URM,URIBE,LA URIBE,COLOMBIA,VVC,VANGUARDIA,VILLAVICENCIO,COLOMBIA,N,T,0.00,27.00
0EC,SAE,7/1/2022 0:00,2022,7,VVC,VANGUARDIA,VILLAVICENCIO,COLOMBIA,7HM,LLANO CAUCHO,CUMARIBO,COLOMBIA,N,T,3.00,72.00
0EC,SAE,7/1/2022 0:00,2022,7,VVC,VANGUARDIA,VILLAVICENCIO,COLOMBIA,7IV,AKAE,LA PRIMAVERA,COLOMBIA,N,T,0.00,27.00
0EC,SAE,7/1/2022 0:00,2022,7,VVC,VANGUARDIA,VILLAVICENCIO,COLOMBIA,A08,EL PLACER,CUMARIBO,COLOMBIA,N,T,2.00,54.00
0EC,SAE,7/1/2022 0:00,2022,7,VVC,VANGUARDIA,VILLAVICENCIO,COLOMBIA,BEN,BENEFICENCIA DE CUNDINAMARCA,BOGOTA,COLOMBIA,N,T,2.00,45.00
0EC,SAE,7/1/2022 0:00,2022,7,VVC,VANGUARDIA,VILLAVICENCIO,COLOMBIA,CRU,CARURU,CARURU,COLOMBIA,N,T,0.00,45.00
0EC,SAE,7/1/2022 0:00,2022,7,VVC,VANGUARDIA,VILLAVICENCIO,COLOMBIA,EYP,EL YOPAL,EL YOPAL,COLOMBIA,N,T,3.00,27.00
0EC,SAE,7/1/2022 0:00,2022,7,VVC,VANGUARDIA,VILLAVICENCIO,COLOMBIA,GYM,GUAYMARAL,CHIA,COLOMBIA,N,T,0.00,55.00
0EC,SAE,7/1/2022 0:00,2022,7,VVC,VANGUARDIA,VILLAVICENCIO,COLOMBIA,LMC,LA MACARENA - META,LA MACARENA,COLOMBIA,N,T,21.00,99.00
0EC,SAE,7/1/2022 0:00,2022,7,VVC,VANGUARDIA,VILLAVICENCIO,COLOMBIA,PCE,CUMARIBO,PUERTO CARRENO,COLOMBIA,N,T,3.00,20.00
0EC,SAE,7/1/2022 0:00,2022,7,VVC,VANGUARDIA,VILLAVICENCIO,COLOMBIA,PCR,GERMAN OLANO,PUERTO CARRENO,COLOMBIA,N,T,3.00,45.00
0EC,SAE,7/1/2022 0:00,2022,7,VVC,VANGUARDIA,VILLAVICENCIO,COLOMBIA,SVI,SAN VICENTE DEL CAGUAN,SAN VICENTE DEL CAGUAN,COLOMBIA,N,T,0.00,45.00
0EC,SAE,7/1/2022 0:00,2022,7,VVC,VANGUARDIA,VILLAVICENCIO,COLOMBIA,URM,URIBE,LA URIBE,COLOMBIA,N,T,3.00,45.00
0ED,GOOD FLY CO SAS,7/1/2022 0:00,2022,7,A04,SANTA ROSA DEL SUR,SANTA ROSA DEL SUR,COLOMBIA,BGA,BUCARAMANGA - PALONEGRO,BUCARAMANGA,COLOMBIA,N,T,2.00,20.00
0ED,GOOD FLY CO SAS,7/1/2022 0:00,2022,7,AGH,AGUACHICA HACARITAMA,AGUACHICA,COLOMBIA,BGA,BUCARAMANGA - PALONEGRO,BUCARAMANGA,COLOMBIA,N,T,12.00,150.00
0ED,GOOD FLY CO SAS,7/1/2022 0:00,2022,7,AUC,ARAUCA - SANTIAGO PEREZ QUIROZ,ARAUCA - MUNICIPIO,COLOMBIA,BGA,BUCARAMANGA - PALONEGRO,BUCARAMANGA,COLOMBIA,N,T,2.00,30.00
0ED,GOOD FLY CO SAS,7/1/2022 0:00,2022,7,BGA,BUCARAMANGA - PALONEGRO,BUCARAMANGA,COLOMBIA,A04,SANTA ROSA DEL SUR,SANTA ROSA DEL SUR,COLOMBIA,N,T,2.00,10.00
0ED,GOOD FLY CO SAS,7/1/2022 0:00,2022,7,BGA,BUCARAMANGA - PALONEGRO,BUCARAMANGA,COLOMBIA,AGH,AGUACHICA HACARITAMA,AGUACHICA,COLOMBIA,N,T,12.00,2.00
0ED,GOOD FLY CO SAS,7/1/2022 0:00,2022,7,BGA,BUCARAMANGA - PALONEGRO,BUCARAMANGA,COLOMBIA,CIM,CIMITARRA GUSTAVO ROJAS,CIMITARRA,COLOMBIA,N,T,2.00,30.00
0ED,GOOD FLY CO SAS,7/1/2022 0:00,2022,7,BGA,BUCARAMANGA - PALONEGRO,BUCARAMANGA,COLOMBIA,EJA,BARRANCABERMEJA-YARIGUIES,BARRANCABERMEJA,COLOMBIA,N,T,1.00,20.00
0ED,GOOD FLY CO SAS,7/1/2022 0:00,2022,7,BGA,BUCARAMANGA - PALONEGRO,BUCARAMANGA,COLOMBIA,EOH,MEDELLIN - OLAYA HERRERA,MEDELLIN,COLOMBIA,N,T,3.00,10.00
0ED,GOOD FLY CO SAS,7/1/2022 0:00,2022,7,BGA,BUCARAMANGA - PALONEGRO,BUCARAMANGA,COLOMBIA,HTZ,HATO COROZAL,HATO COROZAL,COLOMBIA,N,T,2.00,0.00
0ED,GOOD FLY CO SAS,7/1/2022 0:00,2022,7,BGA,BUCARAMANGA - PALONEGRO,BUCARAMANGA,COLOMBIA,PGT,MORELIA,PUERTO GAITAN,COLOMBIA,N,T,0.00,0.00
0ED,GOOD FLY CO SAS,7/1/2022 0:00,2022,7,CAQ,CAUCASIA- JUAN H. WHITE,CAUCASIA,COLOMBIA,EOH,MEDELLIN - OLAYA HERRERA,MEDELLIN,COLOMBIA,N,T,1.00,20.00
0ED,GOOD FLY CO SAS,7/1/2022 0:00,2022,7,CIM,CIMITARRA GUSTAVO ROJAS,CIMITARRA,COLOMBIA,BGA,BUCARAMANGA - PALONEGRO,BUCARAMANGA,COLOMBIA,N,T,2.00,0.00
0ED,GOOD FLY CO SAS,7/1/2022 0:00,2022,7,CLO,CALI - ALFONSO BONILLA ARAGON,CALI,COLOMBIA,MZL,MANIZALES - LA NUBIA,MANIZALES,COLOMBIA,N,T,3.00,20.00
0ED,GOOD FLY CO SAS,7/1/2022 0:00,2022,7,CUC,CAMILO DAZA,CUCUTA,COLOMBIA,BGA,BUCARAMANGA - PALONEGRO,BUCARAMANGA,COLOMBIA,N,T,0.00,0.00
